,model,run,timed,implementation,initial_parameters,final_parameters,learning_time,learning_rounds,training_set_loglikelihood
44,Tandem,8,True,SYMBOLIC_LOG_SEMIRING,"[1.660272554937863, 2.7023120544996013, 4.491103516591379, 4.1525894814783335]","{'mu1a': 0.23318847033555953, 'mu1b': 1.815324988486874, 'mu2': 2.2010680430491063, 'kappa': 3.7826425776195403}",46.623851,3,7123.592525840136659
45,Tandem,8,False,CLASSIC,"[1.660272554937863, 2.7023120544996013, 4.491103516591379, 4.1525894814783335]","{'mu1a': 0.26802064281660243, 'mu1b': 2.199404226248522, 'mu2': 1.3218446140055065, 'kappa': 4.483339138932755}",1102.376777,31,-711.75584452547695946
46,Tandem,8,False,SYMBOLIC,"[1.660272554937863, 2.7023120544996013, 4.491103516591379, 4.1525894814783335]","{'mu1a': 0.26802064281660243, 'mu1b': 2.199404226248521, 'mu2': 1.3218446140055033, 'kappa': 4.483339138932759}",382.634039,31,-711.75584452547695946
47,Tandem,8,False,SYMBOLIC_LOG_SEMIRING,"[1.660272554937863, 2.7023120544996013, 4.491103516591379, 4.1525894814783335]","{'mu1a': 0.2680206428166023, 'mu1b': 2.19940422624852, 'mu2': 1.3218446140055047, 'kappa': 4.483339138932751}",381.94865,31,-711.75584452547695946
48,Tandem,9,True,CLASSIC,"[3.1037980846134854, 3.29180718947367, 4.601447802438237, 3.512262462085608]","{'mu1a': 0.24325987530700338, 'mu1b': 1.8801021071025488, 'mu2': 2.5458631997250447, 'kappa': 3.8263707353597196}",477.310564,3,6951.5721800504215935
49,Tandem,9,True,SYMBOLIC,"[3.1037980846134854, 3.29180718947367, 4.601447802438237, 3.512262462085608]","{'mu1a': 0.24325987530700333, 'mu1b': 1.8801021071025488, 'mu2': 2.5458631997250447, 'kappa': 3.8263707353597196}",46.390179,3,6951.572180050422503
50,Tandem,9,True,SYMBOLIC_LOG_SEMIRING,"[3.1037980846134854, 3.29180718947367, 4.601447802438237, 3.512262462085608]","{'mu1a': 0.24325987530700444, 'mu1b': 1.8801021071025485, 'mu2': 2.5458631997250456, 'kappa': 3.826370735359713}",46.256907,3,6951.5721800504234125
51,Tandem,9,False,CLASSIC,"[3.1037980846134854, 3.29180718947367, 4.601447802438237, 3.512262462085608]","{'mu1a': 0.2660423614236086, 'mu1b': 2.208845837692573, 'mu2': 11.711957291356947, 'kappa': 5.124100204117671}",837.485127,24,-669.5821359504135444
52,Tandem,9,False,SYMBOLIC,"[3.1037980846134854, 3.29180718947367, 4.601447802438237, 3.512262462085608]","{'mu1a': 0.26604236142360854, 'mu1b': 2.2088458376925724, 'mu2': 11.711957291356935, 'kappa': 5.12410020411767}",295.502008,24,-669.58213595041365807
53,Tandem,9,False,SYMBOLIC_LOG_SEMIRING,"[3.1037980846134854, 3.29180718947367, 4.601447802438237, 3.512262462085608]","{'mu1a': 0.2660423614236085, 'mu1b': 2.208845837692572, 'mu2': 11.711957291356928, 'kappa': 5.124100204117667}",294.524004,24,-669.58213595041297594
54,Tandem,10,True,CLASSIC,"[3.1408201756827054, 0.8828547152592348, 1.5054842328014164, 3.010927235715051]","{'mu1a': 0.15273455488054036, 'mu1b': 1.711747777204205, 'mu2': 2.1821458960575217, 'kappa': 4.1710693065456965}",477.211915,3,6865.4185066214567996
55,Tandem,10,True,SYMBOLIC,"[3.1408201756827054, 0.8828547152592348, 1.5054842328014164, 3.010927235715051]","{'mu1a': 0.15273455488054036, 'mu1b': 1.7117477772042047, 'mu2': 2.1821458960575217, 'kappa': 4.1710693065456965}",46.41797,3,6865.4185066214567996
56,Tandem,10,True,SYMBOLIC_LOG_SEMIRING,"[3.1408201756827054, 0.8828547152592348, 1.5054842328014164, 3.010927235715051]","{'mu1a': 0.15273455488054077, 'mu1b': 1.7117477772042013, 'mu2': 2.1821458960575213, 'kappa': 4.171069306545701}",46.188018,3,6865.418506621457709
57,Tandem,10,False,CLASSIC,"[3.1408201756827054, 0.8828547152592348, 1.5054842328014164, 3.010927235715051]","{'mu1a': 0.1807410633084613, 'mu1b': 1.8305927057145843, 'mu2': 2.4157752649332007, 'kappa': 4.102232095159713}",605.170037,20,-667.09621947630785144
58,Tandem,10,False,SYMBOLIC,"[3.1408201756827054, 0.8828547152592348, 1.5054842328014164, 3.010927235715051]","{'mu1a': 0.18074106330846137, 'mu1b': 1.8305927057145845, 'mu2': 2.4157752649332007, 'kappa': 4.102232095159714}",218.016383,20,-667.09621947630773775
59,Tandem,10,False,SYMBOLIC_LOG_SEMIRING,"[3.1408201756827054, 0.8828547152592348, 1.5054842328014164, 3.010927235715051]","{'mu1a': 0.18074106330846132, 'mu1b': 1.830592705714584, 'mu2': 2.4157752649331994, 'kappa': 4.102232095159708}",217.674633,20,-667.09621947630785144
